_timediff,discovery_or_attack,filename,hash,platform
,attack,nmap,,linux
,attack,nc,,linux
,attack,tcpdump,,linux
,attack,snort,,linux
,attack,hping3,,linux
,attack,iptables,,linux
,attack,hping2,,linux
,attack,p0f,,linux
,attack,nmap.exe,,windows
,attack,tcpdump.exe,,windows
,attack,hping3.exe,,windows
,attack,hping2.exe,,windows
,discovery,sc.exe,2F2F92B1394C4842D959E3324CA8FABD4E8A23CA,windows
,discovery,net.exe,9A544E2094273741AA2D3E7EA0AF303AF2B587EA,windows
,suspicious,at.exe,,windows
,discovery,route.exe,,windows
,discovery,quser.exe,1BEA7DCCB6A64B6E199CAC69498E5F89FC44D176,windows
,discovery,tasklist.exe,430AA43010EEF3CD43ED445777F3D5CCF6BC4C27,windows
,discovery,ipconfig.exe,EA18043FEDAF888F04C07F71F2006F3F479C0B41,windows
,discovery,powershell.exe,4445BC58D64BCE3322F80690AF5405876D01C0AC,windows
,attack,console.exe,4D71EC138CC5921F7074D4413DB7CF52A0A56504,windows
,attack,FirefoxPortable.exe,,windows
,attack,putty.exe,,windows
,attack,WinSCP.exe,,windows
,attack,openssl.exe,,windows
,attack,Network Calculator.exe,,windows
,attack,cports.exe,,windows
,attack,pageant.exe,,windows
,attack,puttygen.exe,,windows
,attack,PortableTor.exe,,windows
,attack,ADInsight.exe,,windows
,attack,Bruter.exe,,windows
,attack,EchoMirage.exe,,windows
,attack,ITR.exe,,windows
,attack,ollydbg.exe,,windows
,attack,SocketSniff.exe,,windows
,attack,hydra.exe,,windows
,attack,oSpy.exe,,windows
,attack,ostinato.exe,,windows
,attack,DecaffeinatID.exe,,windows
,attack,ike-scan.exe,,windows
,attack,nc.exe,C5E19C02A9A1362C67EA87C1E049CE9056425788,windows
,attack,NetworkMiner.exe,,windows
,attack,smsniff.exe,,windows
,attack,SniffPass.exe,,windows
,attack,URLSnooper.exe,,windows
,attack,WinDump.exe,,windows
,attack,wireshark.exe,,windows
,attack,ngrep.exe,,windows
,attack,tcpdump.exe,,windows
,attack,WinSID.exe,,windows
,attack,lsnrcheck.exe,,windows
,attack,hping.exe,BC8F700316EF635AAF2431A1D3A310D017A2890B,windows
,attack,CUDA-Multiforcer.exe,,windows
,attack,Cain.exe,,windows
,attack,lcp.exe,,windows
,attack,lhc.exe,,windows
,attack,rcrack.exe,,windows
,attack,rcrack_cuda_gui.exe,,windows
,attack,rcrack_gui.exe,,windows
,attack,cudadbcracker.exe,,windows
,attack,ighashgpu.exe,,windows
,attack,igrargpu.exe,,windows
,attack,john-386.exe,,windows
,attack,stunnel.exe,,windows
,attack,ipscan-3.0-beta4.exe,,windows
,attack,nmap.exe,,windows
,attack,SuperScan4.exe,,windows
,attack,amap.exe,,windows
,attack,BSQLGUI.exe,,windows
,attack,BlindSQLInjector.exe,,windows
,attack,CredDigger.exe,,windows
,attack,httprecon.exe,,windows
,attack,JBroFuzz.exe,,windows
,attack,SwfScan.exe,,windows
,attack,ViewStateHacker.exe,,windows
,attack,ratproxy.exe,,windows
,attack,skipfish.exe,,windows
,attack,wfuzz.exe,,windows
,attack,wikto.exe,,windows
,attack,AccessEnum.exe,,windows
,attack,dumpsec.exe,,windows
,attack,winfingerprint.exe,,windows
,attack,wininterrogate.exe,,windows
,attack,nbquery.exe,,windows
,attack,nbtscan.exe,,windows
,attack,winfo.exe,,windows
,attack,PWDumpX.exe,,windows
,attack,dumpcap.exe,,windows
,attack,Wireshark.exe,,windows
,attack,fgdump.exe,DAFDBAEBE3B8D66DBEFA8D86C5DD7E436892759F,windows
,attack,incognito.exe,,windows
,attack,pmdump.exe,,windows
,attack,iam.exe,,windows
,attack,BluetoothView.exe,,windows
,attack,Homedale.exe,,windows
,attack,Inssider.exe,,windows
,attack,NetStumbler.exe,,windows
,attack,wlaninfo.exe,,windows
,attack,Aircrack-ng GUI.exe,,windows
,attack,KeePass.exe,,windows
,attack,depends.exe,,windows
,attack,PEiD.exe,,windows
,attack,Revelation.exe,,windows
,attack,enabler.exe,,windows
,attack,showin.exe,,windows
,attack,7zFM.exe,,windows
,attack,TrueCrypt.exe,,windows
,attack,HxD.exe,,windows
,attack,Explorer++.exe,,windows
,attack,Recuva.exe,,windows
,attack,nbe2sql.exe,,windows
,attack,NessusViewer.exe,,windows
,attack,NetworkScanViewer.exe,,windows
,attack,FileASSASSIN.exe,,windows
,attack,VNCPassView.exe,,windows
,attack,autoruns.exe,,windows
,attack,AxBan.exe,,windows
,attack,ClamWinPortable.exe,,windows
,attack,FlashCookieRemover.exe,,windows
,attack,FlashCookiesView.exe,,windows
,attack,gmer.exe,,windows
,attack,HijackThis.exe,,windows
,attack,axhelper.exe,,windows
